 IDENTIFIER |    starttime     | pa  |  da | NoPA| SuPA|   v  |  dv  | minv | maxv
 C200707.06 | 2007/07/18 00:10 | 255 | 034 | 272 | 238 | 1817 | 0166 | 1539 | 1967
 C200707.07 | 2007/07/18 09:30 | 266 | 032 | 282 | 250 | 1475 | 0049 | 1416 | 1539
 C200707.08 | 2007/07/18 20:50 | 280 | 012 | 286 | 274 | 1201 | 0081 | 1180 | 1362
 C200707.09 | 2007/07/19 16:50 | 258 | 040 | 278 | 238 | 1967 | 0213 | 1539 | 1967
 C200707.10 | 2007/07/20 04:10 | 259 | 046 | 282 | 236 | 1728 | 0152 | 1475 | 1864
 C200707.11 | 2007/07/21 10:50 | 261 | 046 | 284 | 238 | 1770 | 0154 | 1539 | 1967
 C200707.12 | 2007/07/22 16:10 | 269 | 070 | 304 | 234 | 1967 | 0202 | 1539 | 1967
 C200707.13 | 2007/07/23 18:50 | 258 | 048 | 282 | 234 | 1864 | 0146 | 1609 | 1967
 C200707.14 | 2007/07/25 22:50 | 263 | 046 | 286 | 240 | 0945 | 0335 | 0753 | 1475
 C200707.15 | 2007/07/27 22:10 | 295 | 018 | 304 | 286 | 1916 | 0222 | 1539 | 1967
 C200707.16 | 2007/07/28 02:50 | 256 | 028 | 270 | 242 | 0367 | 0057 | 0237 | 0407
 C200707.17 | 2007/07/28 17:30 | 263 | 026 | 276 | 250 | 1686 | 0357 | 0885 | 1967
 C200707.18 | 2007/07/29 06:10 | 279 | 062 | 310 | 248 | 0517 | 0844 | 0330 | 1967
 C200707.19 | 2007/07/29 14:50 | 261 | 026 | 274 | 248 | 1475 | 0086 | 1416 | 1686
 C200707.20 | 2007/07/30 03:30 | 255 | 046 | 278 | 232 | 1539 | 0180 | 1475 | 1967
 C200707.21 | 2007/07/30 09:30 | 267 | 054 | 294 | 240 | 1609 | 0753 | 0276 | 1967
 C200708.01 | 2007/08/07 06:09 | 299 | 026 | 312 | 286 | 0437 | 0074 | 0307 | 0465
 C200708.02 | 2007/08/07 20:09 | 254 | 020 | 264 | 244 | 1686 | 0182 | 1539 | 1967
 C200708.03 | 2007/08/10 07:30 | 294 | 016 | 302 | 286 | 1770 | 0381 | 0932 | 1967
 C200708.04 | 2007/08/11 06:50 | 254 | 060 | 284 | 224 | 1539 | 0184 | 1475 | 1967
 C200708.05 | 2007/08/13 06:50 | 259 | 010 | 264 | 254 | 1686 | 0184 | 1609 | 1967
 C200708.06 | 2007/08/15 07:30 | 261 | 010 | 266 | 256 | 1648 | 0166 | 1475 | 1967
 C200708.07 | 2007/08/18 21:30 | 273 | 026 | 286 | 260 | 1864 | 0164 | 1475 | 1967
 C200708.08 | 2007/08/21 09:30 | 274 | 064 | 306 | 242 | 1142 | 0714 | 0297 | 1967
 C200708.09 | 2007/08/23 08:50 | 266 | 056 | 294 | 238 | 1728 | 0754 | 0268 | 1967
 C200708.10 | 2007/08/23 22:50 | 267 | 010 | 272 | 262 | 0289 | 0026 | 0266 | 0334
 C200709.01 | 2007/09/02 01:30 | 268 | 060 | 298 | 238 | 1864 | 0101 | 1609 | 1967
 C200709.02 | 2007/09/08 18:10 | 289 | 026 | 302 | 276 | 0343 | 0026 | 0305 | 0393
 C200709.03 | 2007/09/10 05:30 | 286 | 024 | 298 | 274 | 1967 | 0237 | 1362 | 1967
 C200709.04 | 2007/09/13 21:29 | 276 | 016 | 284 | 268 | 1916 | 0070 | 1770 | 1967
 C200709.05 | 2007/09/20 04:09 | 271 | 058 | 300 | 242 | 1609 | 0827 | 0240 | 1967
 C200709.06 | 2007/09/21 00:09 | 296 | 024 | 308 | 284 | 1686 | 0174 | 1539 | 1967
 C200709.07 | 2007/09/21 04:49 | 255 | 034 | 272 | 238 | 1770 | 0176 | 1362 | 1967
 C200709.08 | 2007/09/21 20:49 | 253 | 034 | 270 | 236 | 1770 | 0136 | 1609 | 1967
