 IDENTIFIER |    starttime     | pa  |  da | NoPA| SuPA|   v  |  dv  | minv | maxv
 C200907.01 | 2009/06/30 17:29 | 093 | 014 | 086 | 100 | 0181 | 0061 | 0152 | 0305
 C200907.02 | 2009/07/03 07:29 | 097 | 038 | 078 | 116 | 0313 | 0033 | 0258 | 0384
 C200907.03 | 2009/07/05 07:29 | 084 | 024 | 072 | 096 | 0270 | 0063 | 0185 | 0380
 C200907.04 | 2009/07/06 10:49 | 091 | 014 | 084 | 098 | 0292 | 0013 | 0270 | 0307
 C200907.05 | 2009/07/07 10:09 | 089 | 070 | 054 | 124 | 1264 | 0294 | 0983 | 1770
 C200907.06 | 2009/07/10 23:29 | 095 | 026 | 082 | 108 | 0251 | 0018 | 0212 | 0270
 C200907.07 | 2009/07/13 19:29 | 098 | 028 | 084 | 112 | 0251 | 0012 | 0228 | 0268
 C200907.08 | 2009/07/16 02:49 | 095 | 022 | 084 | 106 | 0255 | 0036 | 0181 | 0313
 C200907.09 | 2009/07/16 18:09 | 098 | 012 | 092 | 104 | 0281 | 0066 | 0190 | 0368
 C200907.10 | 2009/07/26 10:49 | 079 | 042 | 058 | 100 | 0437 | 0006 | 0426 | 0448
 C200907.11 | 2009/07/29 08:09 | 081 | 082 | 040 | 122 | 1967 | 0087 | 1770 | 1967
 C200907.12 | 2009/07/31 12:49 | 082 | 036 | 064 | 100 | 0334 | 0025 | 0283 | 0365 (dup. C200908.01)
 C200908.01 | 2009/07/31 12:49 | 082 | 040 | 062 | 102 | 0332 | 0021 | 0283 | 0357 (dup. C200907.12)
 C200908.02 | 2009/07/31 22:49 | 061 | 030 | 046 | 076 | 0251 | 0047 | 0172 | 0330
 C200908.03 | 2009/08/01 04:09 | 062 | 016 | 054 | 070 | 0227 | 0024 | 0184 | 0252
 C200908.04 | 2009/08/05 01:29 | 106 | 064 | 074 | 138 | 0389 | 0057 | 0307 | 0536
 C200908.05 | 2009/08/09 02:49 | 095 | 034 | 078 | 112 | 0266 | 0032 | 0215 | 0347
 C200908.06 | 2009/08/14 02:49 | 092 | 012 | 086 | 098 | 0300 | 0037 | 0245 | 0350
 C200908.07 | 2009/08/20 00:09 | 091 | 042 | 070 | 112 | 0231 | 0035 | 0196 | 0343
 C200908.08 | 2009/08/24 06:49 | 076 | 012 | 070 | 082 | 0313 | 0045 | 0229 | 0343
 C200908.09 | 2009/08/25 16:49 | 078 | 052 | 052 | 104 | 0347 | 0043 | 0292 | 0411
 C200908.10 | 2009/08/26 16:49 | 083 | 010 | 078 | 088 | 0357 | 0002 | 0354 | 0361
 C200909.01 | 2009/09/01 12:49 | 095 | 034 | 078 | 112 | 0312 | 0026 | 0272 | 0365
 C200909.02 | 2009/09/03 04:09 | 079 | 010 | 074 | 084 | 0219 | 0014 | 0195 | 0242
 C200909.03 | 2009/09/04 04:49 | 085 | 042 | 064 | 106 | 0255 | 0039 | 0198 | 0343
 C200909.04 | 2009/09/05 20:09 | 081 | 026 | 068 | 094 | 0302 | 0021 | 0262 | 0340
 C200909.05 | 2009/09/13 04:49 | 089 | 018 | 080 | 098 | 0222 | 0010 | 0200 | 0236
 C200909.06 | 2009/09/22 01:29 | 082 | 032 | 066 | 098 | 0380 | 0035 | 0305 | 0416
 C200909.07 | 2009/09/24 21:29 | 081 | 026 | 068 | 094 | 0278 | 0046 | 0193 | 0340
 C200909.08 | 2009/09/25 23:29 | 091 | 014 | 084 | 098 | 0394 | 0093 | 0233 | 0485
 C200909.09 | 2009/09/27 11:29 | 085 | 054 | 058 | 112 | 0281 | 0040 | 0212 | 0365
 C200910.01 | 2009/10/01 04:09 | 089 | 030 | 074 | 104 | 0185 | 0006 | 0172 | 0194
 C200910.02 | 2009/10/01 22:09 | 086 | 016 | 078 | 094 | 0272 | 0030 | 0218 | 0313
 C200910.03 | 2009/10/03 18:49 | 091 | 010 | 086 | 096 | 0209 | 0042 | 0201 | 0305
 C200910.04 | 2009/10/04 18:49 | 085 | 010 | 080 | 090 | 0178 | 0022 | 0162 | 0221
 C200910.05 | 2009/10/05 01:29 | 089 | 010 | 084 | 094 | 0177 | 0015 | 0164 | 0208
 C200910.06 | 2009/10/13 17:29 | 108 | 060 | 078 | 138 | 1864 | 0153 | 1475 | 1967
 C200910.07 | 2009/10/16 06:09 | 107 | 038 | 088 | 126 | 1770 | 0104 | 1609 | 1967
 C200910.08 | 2009/10/16 13:29 | 105 | 034 | 088 | 122 | 1770 | 0124 | 1416 | 1864
 C200910.09 | 2009/10/18 01:29 | 090 | 064 | 058 | 122 | 0644 | 0119 | 0397 | 0843
 C200910.10 | 2009/10/18 20:49 | 107 | 054 | 080 | 134 | 1864 | 0105 | 1609 | 1967
 C200910.11 | 2009/10/31 10:49 | 084 | 076 | 046 | 122 | 0369 | 0037 | 0327 | 0485 (dup. C200911.01)
 C200911.01 | 2009/10/31 10:49 | 084 | 092 | 038 | 130 | 0378 | 0051 | 0321 | 0528 (dup. C200910.11)
 C200911.02 | 2009/11/05 19:29 | 099 | 038 | 080 | 118 | 0248 | 0045 | 0145 | 0285
 C200911.03 | 2009/11/06 17:29 | 098 | 024 | 086 | 110 | 0242 | 0025 | 0201 | 0285
 C200911.04 | 2009/11/07 16:09 | 089 | 010 | 084 | 094 | 0299 | 0021 | 0262 | 0334
 C200911.05 | 2009/11/09 00:09 | 087 | 010 | 082 | 092 | 0274 | 0013 | 0251 | 0292
 C200911.06 | 2009/11/09 22:09 | 089 | 026 | 076 | 102 | 0389 | 0041 | 0319 | 0459
 C200911.07 | 2009/11/10 01:29 | 067 | 010 | 062 | 072 | 0298 | 0031 | 0258 | 0350
 C200911.08 | 2009/11/21 15:29 | 086 | 068 | 052 | 120 | 0389 | 0025 | 0340 | 0426
 C200911.09 | 2009/11/23 22:09 | 076 | 016 | 068 | 084 | 0229 | 0010 | 0218 | 0249
 C200911.10 | 2009/11/26 02:49 | 089 | 014 | 082 | 096 | 0222 | 0012 | 0210 | 0249
 C200911.11 | 2009/11/28 12:49 | 100 | 024 | 088 | 112 | 0191 | 0018 | 0169 | 0219
 C200912.01 | 2009/11/30 10:09 | 095 | 018 | 086 | 104 | 0258 | 0016 | 0244 | 0297
 C200912.02 | 2009/12/02 07:29 | 094 | 012 | 088 | 100 | 1264 | 0058 | 1180 | 1362
 C200912.03 | 2009/12/02 23:29 | 095 | 058 | 066 | 124 | 1864 | 0103 | 1686 | 1967
 C200912.04 | 2009/12/04 03:29 | 087 | 062 | 056 | 118 | 1770 | 0104 | 1686 | 1967
 C200912.05 | 2009/12/06 09:29 | 097 | 018 | 088 | 106 | 0234 | 0022 | 0194 | 0262
 C200912.06 | 2009/12/07 17:29 | 094 | 028 | 080 | 108 | 0212 | 0024 | 0184 | 0270
 C200912.07 | 2009/12/08 10:09 | 086 | 020 | 076 | 096 | 0340 | 0051 | 0256 | 0442
 C200912.08 | 2009/12/10 10:49 | 084 | 032 | 068 | 100 | 0415 | 0122 | 0249 | 0643
 C200912.09 | 2009/12/13 14:09 | 090 | 028 | 076 | 104 | 0310 | 0140 | 0231 | 0610
 C200912.10 | 2009/12/16 08:09 | 081 | 050 | 056 | 106 | 0440 | 0046 | 0337 | 0528
 C200912.11 | 2009/12/17 06:09 | 096 | 016 | 088 | 104 | 1609 | 0932 | 0227 | 1967
 C200912.12 | 2009/12/21 17:29 | 091 | 010 | 086 | 096 | 0275 | 0040 | 0252 | 0347
 C200912.13 | 2009/12/22 04:09 | 079 | 050 | 054 | 104 | 0332 | 0028 | 0270 | 0393
 C200912.14 | 2009/12/26 14:09 | 081 | 022 | 070 | 092 | 0253 | 0021 | 0218 | 0295
 C200912.15 | 2009/12/30 20:09 | 088 | 020 | 078 | 098 | 0384 | 0019 | 0368 | 0426
 C201001.01 | 2010/01/02 03:29 | 069 | 014 | 062 | 076 | 0267 | 0006 | 0254 | 0276
 C201001.02 | 2010/01/02 10:09 | 082 | 020 | 072 | 092 | 0239 | 0016 | 0231 | 0270
 C201001.03 | 2010/01/15 16:09 | 090 | 016 | 082 | 098 | 0198 | 0006 | 0189 | 0208
 C201001.04 | 2010/01/18 22:49 | 094 | 040 | 074 | 114 | 1728 | 0073 | 1609 | 1864
 C201001.05 | 2010/01/22 15:29 | 097 | 042 | 076 | 118 | 0246 | 0039 | 0166 | 0321
 C201001.06 | 2010/01/31 04:49 | 097 | 014 | 090 | 104 | 0520 | 0013 | 0513 | 0544 (dup. C201002.01)
 C201002.01 | 2010/01/31 05:29 | 097 | 014 | 090 | 104 | 0517 | 0035 | 0454 | 0571 (dup. C201001.06)
 C201002.02 | 2010/02/02 01:29 | 117 | 038 | 098 | 136 | 0357 | 0037 | 0292 | 0442
 C201002.03 | 2010/02/03 14:49 | 107 | 050 | 082 | 132 | 0296 | 0023 | 0260 | 0343
 C201002.04 | 2010/02/06 08:09 | 114 | 016 | 106 | 122 | 0286 | 0027 | 0252 | 0343
 C201002.05 | 2010/02/07 02:09 | 101 | 078 | 062 | 140 | 0457 | 0042 | 0402 | 0544
 C201002.06 | 2010/02/07 11:29 | 112 | 040 | 092 | 132 | 0544 | 0156 | 0212 | 0600
 C201002.07 | 2010/02/08 12:09 | 093 | 038 | 074 | 112 | 0368 | 0037 | 0300 | 0448
 C201002.08 | 2010/02/09 21:29 | 061 | 010 | 056 | 066 | 0243 | 0013 | 0225 | 0264
 C201002.09 | 2010/02/10 12:09 | 086 | 012 | 080 | 092 | 0361 | 0036 | 0295 | 0384
 C201002.10 | 2010/02/10 19:29 | 094 | 036 | 076 | 112 | 0621 | 0124 | 0536 | 0885
 C201002.11 | 2010/02/12 06:49 | 094 | 060 | 064 | 124 | 0681 | 0044 | 0571 | 0694
 C201002.12 | 2010/02/13 03:29 | 076 | 052 | 050 | 102 | 0549 | 0064 | 0466 | 0681
 C201002.13 | 2010/02/14 12:49 | 063 | 058 | 034 | 092 | 0358 | 0046 | 0292 | 0478
 C201002.14 | 2010/02/15 10:09 | 055 | 010 | 050 | 060 | 0330 | 0055 | 0276 | 0442
 C201002.15 | 2010/02/16 11:29 | 099 | 030 | 084 | 114 | 0528 | 0084 | 0380 | 0681
 C201002.16 | 2010/02/18 03:29 | 083 | 010 | 078 | 088 | 0232 | 0041 | 0145 | 0262
 C201002.17 | 2010/02/22 00:09 | 074 | 012 | 068 | 080 | 0313 | 0010 | 0297 | 0327
 C201002.18 | 2010/02/25 00:09 | 110 | 052 | 084 | 136 | 0437 | 0051 | 0316 | 0528
 C201002.19 | 2010/02/26 10:49 | 108 | 016 | 100 | 116 | 0354 | 0032 | 0313 | 0421
 C201002.20 | 2010/02/28 11:29 | 108 | 016 | 100 | 116 | 0307 | 0036 | 0281 | 0384 (dup. C201003.01)
 C201003.01 | 2010/02/28 12:09 | 108 | 016 | 100 | 116 | 0307 | 0034 | 0295 | 0384 (dup. C201002.20)
 C201003.02 | 2010/03/01 08:09 | 106 | 064 | 074 | 138 | 0421 | 0065 | 0316 | 0478
 C201003.03 | 2010/03/02 02:09 | 103 | 066 | 070 | 136 | 0389 | 0098 | 0302 | 0655
 C201003.04 | 2010/03/04 08:49 | 115 | 010 | 110 | 120 | 0177 | 0006 | 0165 | 0181
 C201003.05 | 2010/03/06 09:29 | 095 | 066 | 062 | 128 | 0762 | 0202 | 0372 | 0983
 C201003.06 | 2010/03/10 10:49 | 080 | 036 | 062 | 098 | 0397 | 0094 | 0334 | 0655
 C201003.07 | 2010/03/12 06:49 | 083 | 034 | 066 | 100 | 0330 | 0065 | 0213 | 0478
 C201003.08 | 2010/03/14 00:49 | 097 | 070 | 062 | 132 | 0459 | 0075 | 0402 | 0681
 C201003.09 | 2010/03/14 05:29 | 078 | 072 | 042 | 114 | 0421 | 0076 | 0292 | 0610
 C201003.10 | 2010/03/15 07:29 | 087 | 034 | 070 | 104 | 0241 | 0050 | 0152 | 0357
 C201003.11 | 2010/03/19 21:29 | 095 | 074 | 058 | 132 | 0313 | 0034 | 0249 | 0376
 C201003.12 | 2010/03/21 01:29 | 110 | 024 | 098 | 122 | 0334 | 0010 | 0324 | 0357
 C201003.13 | 2010/03/21 12:49 | 070 | 012 | 064 | 076 | 0226 | 0013 | 0214 | 0251
 C201003.14 | 2010/03/24 13:29 | 096 | 048 | 072 | 120 | 0239 | 0030 | 0207 | 0327
 C201003.15 | 2010/03/25 08:49 | 097 | 050 | 072 | 122 | 0258 | 0022 | 0222 | 0302
 C201003.16 | 2010/03/26 19:29 | 096 | 072 | 060 | 132 | 0296 | 0032 | 0222 | 0350
 C201003.17 | 2010/03/30 14:09 | 114 | 048 | 090 | 138 | 0571 | 0067 | 0478 | 0737
 C201003.18 | 2010/03/30 23:29 | 121 | 010 | 116 | 126 | 0286 | 0016 | 0266 | 0313
 C201004.01 | 2010/04/01 14:49 | 115 | 010 | 110 | 120 | 0427 | 0058 | 0372 | 0544
 C201004.02 | 2010/04/02 05:29 | 116 | 012 | 110 | 122 | 0459 | 0073 | 0316 | 0505
 C201004.03 | 2010/04/02 11:29 | 121 | 010 | 116 | 126 | 0409 | 0101 | 0327 | 0621
 C201004.04 | 2010/04/02 14:09 | 083 | 010 | 078 | 088 | 0407 | 0033 | 0361 | 0454
 C201004.05 | 2010/04/02 18:09 | 104 | 016 | 096 | 112 | 0276 | 0075 | 0195 | 0397
 C201004.06 | 2010/04/03 12:09 | 102 | 072 | 066 | 138 | 0823 | 0110 | 0571 | 1041
 C201004.07 | 2010/04/04 04:09 | 124 | 024 | 112 | 136 | 0397 | 0084 | 0357 | 0562
 C201004.08 | 2010/04/05 12:09 | 080 | 020 | 070 | 090 | 0268 | 0009 | 0256 | 0285
 C201004.09 | 2010/04/06 04:09 | 097 | 046 | 074 | 120 | 0582 | 0278 | 0416 | 1264
 C201004.10 | 2010/04/06 20:49 | 094 | 012 | 088 | 100 | 0283 | 0119 | 0268 | 0520
 C201004.11 | 2010/04/08 06:49 | 093 | 058 | 064 | 122 | 0544 | 0053 | 0454 | 0668
 C201004.12 | 2010/04/08 18:09 | 084 | 040 | 064 | 104 | 0249 | 0060 | 0196 | 0402
 C201004.13 | 2010/04/10 00:49 | 099 | 038 | 080 | 118 | 0312 | 0034 | 0239 | 0354
 C201004.14 | 2010/04/12 00:09 | 101 | 022 | 090 | 112 | 0361 | 0043 | 0310 | 0454
 C201004.15 | 2010/04/13 10:49 | 081 | 094 | 034 | 128 | 0345 | 0255 | 0219 | 0983
 C201004.16 | 2010/04/15 08:49 | 080 | 012 | 074 | 086 | 0437 | 0031 | 0368 | 0454
 C201004.17 | 2010/04/15 22:49 | 070 | 016 | 062 | 078 | 0330 | 0047 | 0239 | 0368
 C201004.18 | 2010/04/19 06:49 | 096 | 084 | 054 | 138 | 0448 | 0075 | 0340 | 0571
 C201004.19 | 2010/04/20 02:09 | 076 | 076 | 038 | 114 | 0416 | 0037 | 0334 | 0491
 C201004.20 | 2010/04/20 09:29 | 053 | 010 | 048 | 058 | 0389 | 0017 | 0361 | 0416
 C201004.21 | 2010/04/22 05:29 | 106 | 048 | 082 | 130 | 0397 | 0080 | 0343 | 0621
 C201004.22 | 2010/04/22 23:29 | 108 | 032 | 092 | 124 | 0350 | 0029 | 0300 | 0397
 C201004.23 | 2010/04/24 05:29 | 101 | 014 | 094 | 108 | 0213 | 0037 | 0205 | 0295
 C201004.24 | 2010/04/25 16:49 | 095 | 010 | 090 | 100 | 0272 | 0016 | 0252 | 0300
 C201004.25 | 2010/04/29 13:29 | 115 | 010 | 110 | 120 | 0283 | 0017 | 0266 | 0313
 C201005.01 | 2010/05/01 10:09 | 097 | 010 | 092 | 102 | 0454 | 0029 | 0402 | 0491
 C201005.02 | 2010/05/01 19:29 | 103 | 046 | 080 | 126 | 0265 | 0050 | 0185 | 0393
 C201005.03 | 2010/05/04 12:49 | 110 | 032 | 094 | 126 | 0384 | 0056 | 0290 | 0459
 C201005.04 | 2010/05/05 12:49 | 105 | 014 | 098 | 112 | 0381 | 0518 | 0350 | 1416
 C201005.05 | 2010/05/06 02:49 | 103 | 014 | 096 | 110 | 0365 | 0025 | 0330 | 0421
 C201005.06 | 2010/05/07 11:29 | 052 | 016 | 044 | 060 | 0681 | 0055 | 0571 | 0722
 C201005.07 | 2010/05/08 09:29 | 062 | 040 | 042 | 082 | 0643 | 0032 | 0571 | 0681
 C201005.08 | 2010/05/09 02:09 | 065 | 046 | 042 | 088 | 0419 | 0053 | 0287 | 0491
 C201005.09 | 2010/05/11 08:09 | 075 | 018 | 066 | 084 | 0253 | 0035 | 0224 | 0321
 C201005.10 | 2010/05/11 20:09 | 115 | 046 | 092 | 138 | 1770 | 0129 | 1609 | 1967
 C201005.11 | 2010/05/12 08:09 | 098 | 012 | 092 | 104 | 0294 | 0002 | 0290 | 0295
 C201005.12 | 2010/05/12 22:09 | 111 | 014 | 104 | 118 | 0301 | 0047 | 0224 | 0361
 C201005.13 | 2010/05/14 02:09 | 096 | 020 | 086 | 106 | 0324 | 0040 | 0278 | 0402
 C201005.14 | 2010/05/20 20:09 | 060 | 024 | 048 | 072 | 0307 | 0004 | 0300 | 0316
 C201005.15 | 2010/05/21 08:09 | 079 | 022 | 068 | 090 | 1609 | 0572 | 0316 | 1967
 C201005.16 | 2010/05/23 23:29 | 092 | 080 | 052 | 132 | 0370 | 0037 | 0350 | 0491
 C201005.17 | 2010/05/24 10:49 | 098 | 088 | 054 | 142 | 0505 | 0107 | 0402 | 0722
 C201005.18 | 2010/05/27 03:29 | 118 | 044 | 096 | 140 | 0384 | 0039 | 0313 | 0472
 C201005.19 | 2010/05/27 20:09 | 119 | 046 | 096 | 142 | 0367 | 0062 | 0268 | 0466
 C201006.01 | 2010/06/01 00:09 | 113 | 058 | 084 | 142 | 0540 | 0096 | 0297 | 0694
 C201006.02 | 2010/06/01 22:09 | 105 | 010 | 100 | 110 | 0567 | 0045 | 0478 | 0590
 C201006.03 | 2010/06/03 11:29 | 088 | 064 | 056 | 120 | 0307 | 0041 | 0242 | 0389
 C201006.04 | 2010/06/08 01:29 | 072 | 016 | 064 | 080 | 0260 | 0018 | 0231 | 0281
 C201006.05 | 2010/06/09 15:29 | 061 | 010 | 056 | 066 | 0289 | 0011 | 0268 | 0300
 C201006.06 | 2010/06/11 08:49 | 085 | 018 | 076 | 094 | 0264 | 0019 | 0218 | 0281
 C201006.07 | 2010/06/12 18:49 | 063 | 062 | 032 | 094 | 0345 | 0042 | 0244 | 0393
 C201006.08 | 2010/06/15 08:09 | 072 | 060 | 042 | 102 | 0256 | 0011 | 0225 | 0278
 C201006.09 | 2010/06/16 06:49 | 053 | 010 | 048 | 058 | 0299 | 0021 | 0270 | 0330
 C201006.10 | 2010/06/16 21:29 | 075 | 066 | 042 | 108 | 0342 | 0048 | 0222 | 0393
 C201006.11 | 2010/06/18 07:29 | 061 | 022 | 050 | 072 | 0305 | 0013 | 0292 | 0330
 C201006.12 | 2010/06/18 12:09 | 080 | 012 | 074 | 086 | 0376 | 0002 | 0376 | 0380
 C201006.13 | 2010/06/20 08:09 | 081 | 014 | 074 | 088 | 0331 | 0032 | 0278 | 0354
 C201006.14 | 2010/06/20 08:49 | 115 | 018 | 106 | 124 | 0299 | 0036 | 0229 | 0357
 C201006.15 | 2010/06/21 04:09 | 082 | 064 | 050 | 114 | 0292 | 0036 | 0247 | 0368
 C201006.16 | 2010/06/22 16:09 | 112 | 016 | 104 | 120 | 0337 | 0013 | 0324 | 0357
 C201006.17 | 2010/06/23 04:49 | 113 | 014 | 106 | 120 | 0264 | 0026 | 0219 | 0310
 C201006.18 | 2010/06/27 02:09 | 114 | 032 | 098 | 130 | 0268 | 0044 | 0215 | 0361
 C201006.19 | 2010/06/30 07:29 | 079 | 014 | 072 | 086 | 0152 | 0009 | 0138 | 0168
 C201007.01 | 2010/07/01 08:49 | 124 | 032 | 108 | 140 | 0292 | 0011 | 0270 | 0313
 C201007.02 | 2010/07/02 09:29 | 087 | 010 | 082 | 092 | 0245 | 0015 | 0228 | 0272
 C201007.03 | 2010/07/03 14:09 | 082 | 080 | 042 | 122 | 0380 | 0054 | 0254 | 0485
 C201007.04 | 2010/07/03 20:49 | 056 | 016 | 048 | 064 | 0218 | 0031 | 0196 | 0285
 C201007.05 | 2010/07/06 10:49 | 094 | 056 | 066 | 122 | 0374 | 0066 | 0285 | 0528
 C201007.06 | 2010/07/07 18:49 | 101 | 018 | 092 | 110 | 0223 | 0020 | 0195 | 0262
 C201007.07 | 2010/07/08 22:09 | 053 | 014 | 046 | 060 | 0245 | 0015 | 0222 | 0270
 C201007.08 | 2010/07/09 14:49 | 089 | 018 | 080 | 098 | 0206 | 0008 | 0189 | 0212
 C201007.10 | 2010/07/11 02:09 | 044 | 020 | 034 | 054 | 0256 | 0026 | 0228 | 0300
 C201007.09 | 2010/07/11 08:09 | 093 | 090 | 048 | 138 | 0384 | 0156 | 0171 | 0694
 C201007.11 | 2010/07/11 14:49 | 071 | 010 | 066 | 076 | 0354 | 0008 | 0354 | 0368
 C201007.12 | 2010/07/12 14:09 | 097 | 018 | 088 | 106 | 0334 | 0036 | 0272 | 0372
 C201007.13 | 2010/07/17 01:29 | 076 | 048 | 052 | 100 | 0354 | 0061 | 0212 | 0437
 C201007.14 | 2010/07/18 11:29 | 097 | 034 | 080 | 114 | 0252 | 0022 | 0218 | 0297
 C201007.15 | 2010/07/18 17:29 | 070 | 048 | 046 | 094 | 0290 | 0032 | 0218 | 0340
 C201007.16 | 2010/07/19 16:09 | 047 | 010 | 042 | 052 | 0294 | 0036 | 0266 | 0372
 C201007.17 | 2010/07/22 01:29 | 074 | 012 | 068 | 080 | 1686 | 0063 | 1609 | 1770
 C201007.18 | 2010/07/28 08:49 | 100 | 060 | 070 | 130 | 0285 | 0019 | 0270 | 0327
 C201007.19 | 2010/07/30 16:09 | 078 | 100 | 028 | 128 | 0437 | 0082 | 0247 | 0610
 C201008.01 | 2010/08/01 05:29 | 084 | 100 | 034 | 134 | 0843 | 0270 | 0426 | 1416
 C201008.02 | 2010/08/05 06:09 | 069 | 010 | 064 | 074 | 0307 | 0023 | 0272 | 0340
 C201008.03 | 2010/08/06 04:49 | 064 | 012 | 058 | 070 | 0356 | 0010 | 0347 | 0372
 C201008.04 | 2010/08/07 16:09 | 080 | 100 | 030 | 130 | 0610 | 0123 | 0343 | 0769
 C201008.05 | 2010/08/09 07:29 | 097 | 010 | 092 | 102 | 0299 | 0013 | 0278 | 0316
 C201008.06 | 2010/08/10 14:09 | 069 | 010 | 064 | 074 | 0334 | 0005 | 0327 | 0343
 C201008.07 | 2010/08/10 21:29 | 076 | 016 | 068 | 084 | 0380 | 0026 | 0334 | 0416
 C201008.08 | 2010/08/14 12:49 | 085 | 106 | 032 | 138 | 0558 | 0175 | 0264 | 0932
 C201008.09 | 2010/08/15 15:29 | 064 | 064 | 032 | 096 | 0421 | 0131 | 0268 | 0708
 C201008.10 | 2010/08/18 06:49 | 071 | 082 | 030 | 112 | 0426 | 0089 | 0340 | 0621
 C201008.11 | 2010/08/18 09:29 | 085 | 038 | 066 | 104 | 0407 | 0040 | 0319 | 0498
 C201008.12 | 2010/08/22 00:49 | 115 | 010 | 110 | 120 | 0313 | 0032 | 0272 | 0350
 C201008.13 | 2010/08/26 03:29 | 106 | 044 | 084 | 128 | 0300 | 0014 | 0278 | 0330
 C201008.14 | 2010/08/26 21:29 | 107 | 026 | 094 | 120 | 0389 | 0051 | 0305 | 0478
 C201008.15 | 2010/08/30 20:09 | 065 | 010 | 060 | 070 | 0291 | 0064 | 0239 | 0421
 C201008.16 | 2010/08/30 22:49 | 105 | 010 | 100 | 110 | 0319 | 0071 | 0214 | 0416
 C201008.17 | 2010/08/31 04:09 | 092 | 012 | 086 | 098 | 0244 | 0025 | 0201 | 0249
 C201009.01 | 2010/09/04 12:09 | 064 | 024 | 052 | 076 | 0318 | 0013 | 0295 | 0327
 C201009.02 | 2010/09/04 20:49 | 080 | 112 | 024 | 136 | 0571 | 0090 | 0411 | 0753
 C201009.03 | 2010/09/04 22:09 | 118 | 016 | 110 | 126 | 0426 | 0042 | 0372 | 0491
 C201009.04 | 2010/09/07 16:49 | 089 | 062 | 058 | 120 | 0300 | 0029 | 0239 | 0350
 C201009.05 | 2010/09/09 04:49 | 083 | 054 | 056 | 110 | 0378 | 0060 | 0274 | 0491
 C201009.06 | 2010/09/11 06:49 | 070 | 088 | 026 | 114 | 0440 | 0035 | 0357 | 0528
 C201009.07 | 2010/09/12 21:29 | 070 | 036 | 052 | 088 | 0368 | 0045 | 0316 | 0472
 C201009.08 | 2010/09/14 00:49 | 069 | 038 | 050 | 088 | 0359 | 0057 | 0197 | 0426
 C201009.09 | 2010/09/14 18:09 | 065 | 078 | 026 | 104 | 0380 | 0037 | 0290 | 0472
 C201009.10 | 2010/09/15 22:49 | 056 | 024 | 044 | 068 | 0334 | 0010 | 0313 | 0354
 C201009.11 | 2010/09/18 00:49 | 077 | 054 | 050 | 104 | 0367 | 0049 | 0234 | 0431
 C201009.12 | 2010/09/19 12:09 | 101 | 014 | 094 | 108 | 0269 | 0016 | 0244 | 0300
 C201009.13 | 2010/09/20 02:09 | 112 | 012 | 106 | 118 | 0281 | 0053 | 0215 | 0361
 C201009.14 | 2010/09/20 16:09 | 111 | 046 | 088 | 134 | 0389 | 0043 | 0313 | 0472
 C201009.15 | 2010/09/21 05:29 | 082 | 108 | 028 | 136 | 1864 | 0143 | 1475 | 1967
 C201009.16 | 2010/09/22 20:49 | 043 | 026 | 030 | 056 | 0605 | 0038 | 0562 | 0668
 C201009.17 | 2010/09/28 20:09 | 087 | 018 | 078 | 096 | 0517 | 0143 | 0244 | 0722
 C201010.01 | 2010/09/30 17:29 | 055 | 054 | 028 | 082 | 0387 | 0076 | 0281 | 0520 (dup. C201009.18)
 C201009.18 | 2010/09/30 18:09 | 063 | 026 | 050 | 076 | 0443 | 0078 | 0300 | 0536 (dup. C201010.01)
 C201010.02 | 2010/10/06 10:09 | 080 | 072 | 044 | 116 | 0437 | 0071 | 0313 | 0590
 C201010.03 | 2010/10/07 16:09 | 069 | 098 | 020 | 118 | 0509 | 0113 | 0307 | 0722
 C201010.04 | 2010/10/11 05:29 | 080 | 084 | 038 | 122 | 0389 | 0015 | 0361 | 0416
 C201010.05 | 2010/10/13 15:29 | 073 | 014 | 066 | 080 | 0288 | 0016 | 0276 | 0319
 C201010.06 | 2010/10/14 22:09 | 065 | 054 | 038 | 092 | 0350 | 0047 | 0276 | 0459
 C201010.07 | 2010/10/15 16:49 | 053 | 014 | 046 | 060 | 0416 | 0064 | 0354 | 0528
 C201010.08 | 2010/10/18 00:09 | 113 | 046 | 090 | 136 | 0411 | 0052 | 0302 | 0498
 C201010.09 | 2010/10/22 01:29 | 057 | 062 | 026 | 088 | 0694 | 0090 | 0553 | 0908
 C201010.10 | 2010/10/26 15:29 | 100 | 080 | 060 | 140 | 0454 | 0071 | 0287 | 0536
 C201010.11 | 2010/10/26 21:29 | 096 | 012 | 090 | 102 | 0287 | 0044 | 0229 | 0343
 C201010.12 | 2010/10/29 13:29 | 088 | 048 | 064 | 112 | 0252 | 0035 | 0176 | 0310
 C201010.13 | 2010/10/30 20:09 | 085 | 010 | 080 | 090 | 0291 | 0081 | 0178 | 0376
 C201011.01 | 2010/11/01 03:29 | 082 | 012 | 076 | 088 | 0262 | 0018 | 0234 | 0283
 C201011.02 | 2010/11/03 08:49 | 081 | 046 | 058 | 104 | 0502 | 0088 | 0389 | 0655
 C201011.03 | 2010/11/04 03:29 | 091 | 066 | 058 | 124 | 0301 | 0078 | 0231 | 0478
 C201011.04 | 2010/11/04 22:49 | 100 | 012 | 094 | 106 | 0231 | 0008 | 0215 | 0237
 C201011.05 | 2010/11/05 08:49 | 080 | 012 | 074 | 086 | 0217 | 0040 | 0207 | 0292
