 IDENTIFIER |    starttime     | pa  |  da | NoPA| SuPA|   v  |  dv  | minv | maxv
 C200708.01 | 2007/08/02 14:09 | 086 | 016 | 078 | 094 | 0310 | 0013 | 0290 | 0327
 C200708.02 | 2007/08/03 07:29 | 075 | 038 | 056 | 094 | 0239 | 0065 | 0212 | 0384
 C200708.03 | 2007/08/09 00:49 | 091 | 058 | 062 | 120 | 0222 | 0038 | 0184 | 0313
 C200708.04 | 2007/08/11 10:49 | 113 | 014 | 106 | 120 | 0457 | 0030 | 0431 | 0513
 C200708.05 | 2007/08/16 04:09 | 083 | 014 | 076 | 090 | 0272 | 0003 | 0266 | 0278
 C200708.06 | 2007/08/18 18:49 | 100 | 028 | 086 | 114 | 0244 | 0055 | 0166 | 0368
 C200708.07 | 2007/08/24 11:29 | 101 | 022 | 090 | 112 | 0361 | 0136 | 0302 | 0753
 C200708.08 | 2007/08/27 23:29 | 068 | 028 | 054 | 082 | 0162 | 0016 | 0143 | 0189
 C200709.01 | 2007/09/07 21:29 | 099 | 034 | 082 | 116 | 0235 | 0054 | 0176 | 0372
 C200709.02 | 2007/09/08 22:49 | 094 | 016 | 086 | 102 | 0269 | 0012 | 0244 | 0287
 C200709.03 | 2007/09/10 02:49 | 101 | 010 | 096 | 106 | 0293 | 0047 | 0264 | 0397
 C200709.04 | 2007/09/23 06:09 | 066 | 020 | 056 | 076 | 0219 | 0052 | 0156 | 0297
 C200709.05 | 2007/09/23 20:09 | 068 | 020 | 058 | 078 | 0244 | 0028 | 0225 | 0305
 C200709.06 | 2007/09/25 03:29 | 081 | 018 | 072 | 090 | 0156 | 0012 | 0143 | 0183
 C200709.07 | 2007/09/27 05:29 | 079 | 022 | 068 | 090 | 0230 | 0018 | 0196 | 0262
 C200710.01 | 2007/10/04 22:49 | 089 | 054 | 062 | 116 | 0380 | 0036 | 0327 | 0454
 C200710.02 | 2007/10/05 21:29 | 072 | 020 | 062 | 082 | 0251 | 0023 | 0225 | 0287
 C200710.03 | 2007/10/11 13:29 | 100 | 012 | 094 | 106 | 0478 | 0077 | 0334 | 0571
 C200710.04 | 2007/10/15 14:49 | 100 | 012 | 094 | 106 | 0485 | 0089 | 0330 | 0621
 C200710.05 | 2007/10/16 04:09 | 065 | 010 | 060 | 070 | 0370 | 0026 | 0357 | 0426
 C200710.06 | 2007/10/16 08:49 | 078 | 012 | 072 | 084 | 0327 | 0026 | 0302 | 0384
 C200710.07 | 2007/10/19 05:29 | 109 | 010 | 104 | 114 | 0327 | 0007 | 0319 | 0340
 C200710.08 | 2007/10/22 14:49 | 092 | 020 | 082 | 102 | 0218 | 0030 | 0191 | 0297
 C200710.09 | 2007/10/22 19:29 | 074 | 024 | 062 | 086 | 0224 | 0032 | 0201 | 0278
 C200710.10 | 2007/10/28 20:09 | 094 | 012 | 088 | 100 | 0278 | 0004 | 0272 | 0283
 C200710.11 | 2007/10/30 00:09 | 083 | 018 | 074 | 092 | 0268 | 0031 | 0242 | 0340
 C200711.01 | 2007/11/02 22:49 | 102 | 012 | 096 | 108 | 0307 | 0013 | 0292 | 0324
 C200711.02 | 2007/11/04 21:29 | 088 | 068 | 054 | 122 | 0365 | 0023 | 0327 | 0421
 C200711.03 | 2007/11/15 22:09 | 074 | 032 | 058 | 090 | 0421 | 0109 | 0274 | 0643
 C200711.04 | 2007/11/16 06:49 | 098 | 020 | 088 | 108 | 0290 | 0020 | 0272 | 0324
 C200711.05 | 2007/11/17 22:09 | 068 | 012 | 062 | 074 | 0274 | 0005 | 0266 | 0281
 C200711.06 | 2007/11/18 13:29 | 066 | 028 | 052 | 080 | 0292 | 0034 | 0215 | 0334
 C200711.07 | 2007/11/26 10:49 | 089 | 034 | 072 | 106 | 0259 | 0038 | 0213 | 0350
 C200711.08 | 2007/11/27 00:49 | 078 | 016 | 070 | 086 | 0236 | 0781 | 0184 | 1864
 C200712.01 | 2007/12/05 06:09 | 111 | 014 | 104 | 118 | 0360 | 0021 | 0350 | 0397
 C200712.02 | 2007/12/06 06:09 | 096 | 044 | 074 | 118 | 0278 | 0083 | 0200 | 0485
 C200712.03 | 2007/12/08 10:09 | 077 | 010 | 072 | 082 | 0268 | 0020 | 0266 | 0307
 C200712.04 | 2007/12/12 12:09 | 073 | 010 | 068 | 078 | 0351 | 0018 | 0330 | 0384
 C200712.05 | 2007/12/12 22:49 | 071 | 014 | 064 | 078 | 0301 | 0017 | 0283 | 0334
 C200712.06 | 2007/12/18 19:29 | 091 | 010 | 086 | 096 | 0273 | 0033 | 0210 | 0316
 C200712.07 | 2007/12/19 22:49 | 086 | 016 | 078 | 094 | 0269 | 0016 | 0244 | 0297
 C200712.08 | 2007/12/20 16:09 | 080 | 016 | 072 | 088 | 0347 | 0009 | 0330 | 0361
 C200712.09 | 2007/12/23 18:09 | 090 | 012 | 084 | 096 | 0237 | 0027 | 0196 | 0268
 C200712.10 | 2007/12/25 07:29 | 084 | 048 | 060 | 108 | 0302 | 0011 | 0283 | 0324
 C200712.11 | 2007/12/31 03:29 | 093 | 094 | 046 | 140 | 0621 | 0143 | 0431 | 0908 (dup. C200801.01)
 C200801.01 | 2007/12/31 03:29 | 094 | 096 | 046 | 142 | 0708 | 0113 | 0478 | 0908 (dup. C200712.11)
 C200801.02 | 2008/01/02 13:29 | 085 | 094 | 038 | 132 | 0520 | 0107 | 0290 | 0753
 C200801.03 | 2008/01/03 22:49 | 068 | 012 | 062 | 074 | 0327 | 0035 | 0272 | 0372
 C200801.04 | 2008/01/04 12:49 | 085 | 018 | 076 | 094 | 0580 | 0029 | 0536 | 0643
 C200801.05 | 2008/01/06 12:09 | 098 | 016 | 090 | 106 | 0416 | 0052 | 0380 | 0505
 C200801.06 | 2008/01/07 20:49 | 071 | 010 | 066 | 076 | 0281 | 0006 | 0272 | 0290
 C200801.07 | 2008/01/14 07:29 | 080 | 012 | 074 | 086 | 0282 | 0011 | 0272 | 0300
 C200801.08 | 2008/01/16 22:09 | 084 | 024 | 072 | 096 | 0228 | 0021 | 0205 | 0272
 C200801.09 | 2008/01/18 04:09 | 091 | 010 | 086 | 096 | 0295 | 0007 | 0287 | 0307
 C200801.10 | 2008/01/28 00:49 | 057 | 018 | 048 | 066 | 0369 | 0034 | 0321 | 0426
 C200801.11 | 2008/01/30 12:49 | 077 | 030 | 062 | 092 | 0432 | 0053 | 0337 | 0485
 C200801.12 | 2008/01/31 16:49 | 089 | 010 | 084 | 094 | 0308 | 0033 | 0266 | 0368 (dup. C200802.01)
 C200802.01 | 2008/01/31 16:49 | 095 | 022 | 084 | 106 | 0324 | 0017 | 0292 | 0340 (dup. C200801.12)
 C200802.02 | 2008/02/01 07:29 | 077 | 038 | 058 | 096 | 0276 | 0055 | 0180 | 0397
 C200802.03 | 2008/02/04 03:29 | 075 | 030 | 060 | 090 | 0505 | 0135 | 0236 | 0632
 C200802.04 | 2008/02/04 14:09 | 096 | 040 | 076 | 116 | 0437 | 0011 | 0421 | 0459
 C200802.05 | 2008/02/05 08:49 | 063 | 014 | 056 | 070 | 0316 | 0007 | 0305 | 0330
 C200802.06 | 2008/02/13 21:29 | 071 | 058 | 042 | 100 | 0258 | 0047 | 0171 | 0343
 C200802.07 | 2008/02/15 14:49 | 090 | 040 | 070 | 110 | 0319 | 0047 | 0224 | 0384
 C200802.08 | 2008/02/17 01:29 | 082 | 020 | 072 | 092 | 0330 | 0037 | 0292 | 0421
 C200802.09 | 2008/02/22 06:09 | 070 | 028 | 056 | 084 | 0545 | 0079 | 0454 | 0722
 C200802.10 | 2008/02/23 04:49 | 101 | 014 | 094 | 108 | 0225 | 0021 | 0195 | 0256
 C200802.11 | 2008/02/24 10:09 | 076 | 056 | 048 | 104 | 0311 | 0053 | 0237 | 0448
 C200803.01 | 2008/03/01 12:49 | 117 | 010 | 112 | 122 | 0274 | 0049 | 0249 | 0361
 C200803.02 | 2008/03/06 02:49 | 071 | 010 | 066 | 076 | 0402 | 0015 | 0372 | 0407
 C200803.03 | 2008/03/07 20:49 | 081 | 018 | 072 | 090 | 0252 | 0051 | 0197 | 0330
 C200803.04 | 2008/03/15 01:29 | 092 | 016 | 084 | 100 | 0243 | 0003 | 0240 | 0249
 C200803.05 | 2008/03/18 14:50 | 098 | 064 | 066 | 130 | 0354 | 0060 | 0252 | 0437
 C200803.06 | 2008/03/22 21:29 | 100 | 048 | 076 | 124 | 0260 | 0032 | 0213 | 0337
 C200803.07 | 2008/03/25 21:29 | 093 | 078 | 054 | 132 | 0761 | 0212 | 0376 | 1073
 C200804.01 | 2008/04/08 02:49 | 085 | 014 | 078 | 092 | 0300 | 0043 | 0256 | 0376
 C200804.02 | 2008/04/08 21:29 | 084 | 024 | 072 | 096 | 0334 | 0068 | 0236 | 0407
 C200804.03 | 2008/04/10 02:49 | 084 | 036 | 066 | 102 | 0306 | 0020 | 0268 | 0327
 C200804.04 | 2008/04/12 05:29 | 067 | 030 | 052 | 082 | 0393 | 0035 | 0361 | 0478
 C200804.05 | 2008/04/14 11:29 | 114 | 040 | 094 | 134 | 0416 | 0057 | 0283 | 0472
