date,time,cpa,width,lin_speed,quad_speed_init,quad_speed_final,quad_speed_20,accel,mpa,remarks
1996/06/16,11:10:53,87.0,61,237.0,193.0,280.0,427.0,6.2,83,
1996/06/17,02:23:41,85.0,55,304.0,349.0,262.0,166.0,-3.9,81,Poor Event
1996/06/18,03:25:15,239.0,41,44.0,49.0,39.0,0.0,-0.4,244,very faint; Poor Event; Only C2
1996/06/18,17:28:50,84.0,95,64.0,68.0,61.0,0.0,-0.4,79,Poor Event; Only C2
1996/06/19,11:59:44,90.0,57,214.0,267.0,163.0,0.0,-12.8,80,Poor Event; Only C2
1996/06/22,00:39:09,97.0,41,256.0,208.0,302.0,465.0,8.1,98,
1996/06/23,23:39:16,82.0,8,193.0,175.0,209.0,428.0,6.3,84,Only 3 points; Only C2
1996/07/01,13:50:46,271.0,52,359.0,222.0,513.0,917.0,35.3,270,Only 3 points
1996/07/04,19:41:29,262.0,44,300.0,337.0,268.0,188.0,-3.3,270,
1996/07/05,21:21:21,264.0,47,177.0,177.0,178.0,181.0,0.1,268,
1996/07/07,05:03:30,245.0,34,65.0,67.0,63.0,21.0,-0.2,253,Poor Event; Only 3 points; Only C2
1996/07/08,06:28:50,259.0,35,264.0,303.0,226.0,200.0,-2.7,258,Poor Event
1996/07/09,12:28:18,273.0,86,452.0,480.0,423.0,437.0,-3.7,257,Only C3
1996/07/10,07:28:36,254.0,35,227.0,243.0,210.0,0.0,-3.8,254,
1996/07/12,02:14:18,87.0,35,119.0,260.0,12.0,0.0,-51.1,84,Poor Event; Only 3 points; Only C2
1996/07/12,07:38:24,265.0,34,435.0,527.0,342.0,0.0,-21.3,273,
1996/07/12,15:37:40,260.0,68,1085.0,1158.0,1009.0,917.0,-24.1,269,Only 3 points
1996/07/13,02:51:34,201.0,6,,,,,,205,Poor Event; Only 1 point; Only C2
1996/07/14,15:17:50,267.0,50,660.0,664.0,657.0,657.0,-0.4,264,
1996/07/15,10:46:51,273.0,43,632.0,506.0,750.0,928.0,26.2,274,Only 3 points
1996/07/15,22:26:35,241.0,31,240.0,151.0,319.0,670.0,19.0,245,Only 3 points
1996/07/16,02:19:53,278.0,47,602.0,623.0,582.0,586.0,-1.9,269,
1996/07/16,08:27:12,228.0,17,230.0,244.0,216.0,157.0,-1.5,235,
1996/07/17,05:20:07,280.0,34,304.0,237.0,369.0,613.0,15.0,281,
1996/07/17,12:10:43,279.0,28,320.0,421.0,230.0,0.0,-21.5,273,Only 3 points
1996/07/17,16:01:17,94.0,47,310.0,290.0,328.0,346.0,1.7,94,Only 3 points
1996/07/20,09:28:16,31.0,175,246.0,56.0,429.0,477.0,9.4,34,Partial Halo
1996/07/28,04:10:07,267.0,56,126.0,0.0,238.0,359.0,6.1,265,Poor Event
1996/07/28,19:33:02,123.0,28,145.0,91.0,197.0,460.0,8.9,122,Poor Event; Only C2
1996/07/29,17:06:44,268.0,53,190.0,,,,,266,Poor Event; Only 2 points; Only C2
1996/08/01,12:36:35,274.0,35,499.0,451.0,551.0,615.0,7.4,270,
1996/08/01,18:12:21,210.0,82,118.0,94.0,142.0,324.0,4.0,229,Poor Event; Only C2
1996/08/03,19:45:37,231.0,26,71.0,59.0,84.0,128.0,0.5,240,Poor Event
1996/08/07,13:15:05,242.0,27,,,,,,249,Very Poor Event; Only C2; Unable to measure
1996/08/10,09:25:05,68.0,68,148.0,133.0,164.0,201.0,1.0,65,Poor Event
1996/08/10,16:55:05,290.0,42,413.0,244.0,575.0,652.0,17.5,285,
1996/08/12,16:16:56,89.0,37,210.0,,,,,89,Poor Event; Only 2 points; Only C3
1996/08/13,07:15:05,259.0,92,298.0,332.0,266.0,243.0,-2.2,263,
1996/08/13,16:09:18,258.0,153,620.0,637.0,604.0,610.0,-1.8,231,Only 3 points; Only C3; Partial Halo
1996/08/14,07:26:22,204.0,169,244.0,233.0,254.0,292.0,1.4,231,Poor Event; Only 3 points; Partial Halo
1996/08/14,19:30:09,229.0,235,691.0,,,,,237,Only 2 points; Only C3; Partial Halo
1996/08/15,21:00:05,123.0,69,156.0,122.0,187.0,245.0,2.2,121,
1996/08/16,14:14:06,,360,364.0,336.0,390.0,399.0,2.0,158,
1996/08/19,11:18:27,127.0,82,406.0,352.0,467.0,465.0,4.7,125,
1996/08/20,02:00:06,121.0,23,256.0,155.0,354.0,350.0,4.8,118,
1996/08/20,11:10:05,275.0,42,172.0,196.0,149.0,109.0,-1.2,284,
1996/08/21,22:48:51,291.0,41,286.0,292.0,280.0,282.0,-0.6,274,Only C3
1996/08/22,08:38:43,91.0,125,979.0,753.0,1220.0,1035.0,51.9,129,Only 3 points; Only C3; Partial Halo
1996/09/02,09:45:05,66.0,13,571.0,666.0,464.0,0.0,-48.1,73,Poor Event; Only 3 points
1996/09/03,06:25:10,246.0,52,56.0,110.0,3.0,0.0,-15.5,247,Very Poor Event; Only 3 points; Only C2
